,data_type,tax_status,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year,tax_rate
109,Barrels Produced,Totals,2008,10,Stocks On Hand end-of-month:,9862381,10161980,104101133.0,111647080.0,$7/$18 per barrel
110,Barrels Produced,Totals,2008,11,Production,14301054,14920104,185504554.0,185060493.0,$7/$18 per barrel
111,Barrels Produced,Taxable,2008,11,In bottles and cans,11895613,12235442,155178276.0,153670452.0,$7/$18 per barrel
112,Barrels Produced,Taxable,2008,11,In barrels and kegs,1230087,1326900,15803844.0,15873687.0,$7/$18 per barrel
113,Barrels Produced,Taxable,2008,11,"Tax Determined, Premises Use",6424,8687,350196.0,356882.0,$7/$18 per barrel
114,Barrels Produced,Sub Total Taxable,2008,11,Sub Total Taxable,13132124,13571029,171332316.0,169901021.0,$7/$18 per barrel
115,Barrels Produced,Tax Free,2008,11,For export,363547,361885,3763134.0,3568675.0,$7/$18 per barrel
116,Barrels Produced,Tax Free,2008,11,For vessels and aircraft,0,0,104.0,7.0,$7/$18 per barrel
117,Barrels Produced,Tax Free,2008,11,Consumed on brewery premises,619,735,30911.0,32901.0,$7/$18 per barrel
118,Barrels Produced,Sub Total Tax-Free,2008,11,Sub Total Tax-Free,364166,362620,3794149.0,3601583.0,$7/$18 per barrel
119,Barrels Produced,Totals,2008,11,Total Removals,13496290,13933649,175126465.0,173502604.0,$7/$18 per barrel
120,Barrels Produced,Totals,2008,11,Stocks On Hand end-of-month:,9896308,10150857,113997441.0,121797937.0,$7/$18 per barrel
121,Barrels Produced,Totals,2008,12,Production,13961733,13934291,199466287.0,198994784.0,$7/$18 per barrel
122,Barrels Produced,Taxable,2008,12,In bottles and cans,11670121,11405857,166848397.0,165076309.0,$7/$18 per barrel
123,Barrels Produced,Taxable,2008,12,In barrels and kegs,1419144,1294467,17222988.0,17168154.0,$7/$18 per barrel
124,Barrels Produced,Taxable,2008,12,"Tax Determined, Premises Use",86744,94745,436940.0,451627.0,$7/$18 per barrel
125,Barrels Produced,Sub Total Taxable,2008,12,Sub Total Taxable,13176009,12795069,184508325.0,182696090.0,$7/$18 per barrel
126,Barrels Produced,Tax Free,2008,12,For export,333236,259000,4096370.0,3827675.0,$7/$18 per barrel
127,Barrels Produced,Tax Free,2008,12,For vessels and aircraft,0,85,104.0,92.0,$7/$18 per barrel
128,Barrels Produced,Tax Free,2008,12,Consumed on brewery premises,6771,10166,37682.0,43067.0,$7/$18 per barrel
129,Barrels Produced,Sub Total Tax-Free,2008,12,Sub Total Tax-Free,340007,269251,4134156.0,3870834.0,$7/$18 per barrel
130,Barrels Produced,Totals,2008,12,Total Removals,13516016,13064320,188642481.0,186566924.0,$7/$18 per barrel
131,Barrels Produced,Totals,2008,12,Stocks On Hand end-of-month:,9679168,10137310,123676609.0,131935247.0,$7/$18 per barrel
132,Barrels Produced,Totals,2009,1,Production,16089611,16219682,16089611.0,16219682.0,$7/$18 per barrel
133,Barrels Produced,Taxable,2009,1,In bottles and cans,13081831,13227681,13081831.0,13227681.0,$7/$18 per barrel
